id,imdb_id,original_title,release_date,runtime,revenue,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,qtd_genres,day,month,year,day_of_week
334.0,tt0175880,Magnolia,1999-12-10,189.0,48451803.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12,1999,Friday
335.0,tt0064116,C'era una volta il West,1968-12-21,166.0,5380118.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,21,12,1968,Saturday
336.0,tt0067140,Giù la testa,1971-10-20,157.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,10,1971,Wednesday
337.0,tt0329388,Monsieur Ibrahim et les Fleurs du Coran,2003-09-17,91.0,11576431.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,9,2003,Wednesday
338.0,tt0301357,Good Bye Lenin!,2003-02-09,121.0,79384880.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,2003,Sunday
339.0,tt0102536,Night on Earth,1991-12-12,128.0,2015810.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12,1991,Thursday
340.0,tt0404030,Everything Is Illuminated,2005-09-16,106.0,2697930.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16,9,2005,Friday
341.0,tt0489010,A Crime,2006-09-11,103.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,2006,Monday
342.0,tt0420206,Sommersturm,2004-09-02,98.0,2085166.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,2004,Thursday
343.0,tt0067185,Harold and Maude,1971-12-20,91.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,20,12,1971,Monday
344.0,tt0135790,Bang Boom Bang - Ein todsicheres Ding,1999-08-26,110.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,8,1999,Thursday
345.0,tt0120663,Eyes Wide Shut,1999-07-16,159.0,162091208.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,16,7,1999,Friday
346.0,tt0047478,七人の侍,1954-04-26,207.0,346300.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,26,4,1954,Monday
347.0,tt0020163,Menschen am Sonntag,1930-02-04,74.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1930,Tuesday
348.0,tt0078748,Alien,1979-05-25,117.0,104931801.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,25,5,1979,Friday
349.0,tt0428430,Crustacés et coquillages,2005-03-30,93.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,3,2005,Wednesday
350.0,tt0458352,The Devil Wears Prada,2006-06-29,109.0,326551094.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,29,6,2006,Thursday
351.0,tt0416213,Sehnsucht,2006-02-15,88.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,2006,Wednesday
363.0,tt0347048,Gegen die Wand,2004-03-11,117.0,11030861.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,11,3,2004,Thursday
364.0,tt0103776,Batman Returns,1992-06-19,126.0,280000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,19,6,1992,Friday
377.0,tt0087800,A Nightmare on Elm Street,1984-11-09,91.0,57000000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,11,1984,Friday
378.0,tt0093822,Raising Arizona,1987-03-01,94.0,29180280.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1987,Sunday
379.0,tt0100150,Miller's Crossing,1990-09-21,115.0,5080409.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,21,9,1990,Friday
380.0,tt0095953,Rain Man,1988-12-11,134.0,354825435.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,1988,Sunday
381.0,tt0048728,To Catch a Thief,1955-08-03,107.0,8750000.0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,5,3,8,1955,Wednesday
383.0,tt0089537,Mala Noche,1986-02-05,75.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1986,Wednesday
387.0,tt0082096,Das Boot,1981-09-17,150.0,85000000.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,17,9,1981,Thursday
388.0,tt0454848,Inside Man,2006-03-17,129.0,186003591.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,17,3,2006,Friday
389.0,tt0050083,12 Angry Men,1957-04-10,97.0,1000000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,1957,Wednesday
390.0,tt0110361,Lisbon Story,1994-12-16,100.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,16,12,1994,Friday
391.0,tt0058461,Per un pugno di dollari,1964-01-18,99.0,14500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,1,1964,Saturday
392.0,tt0241303,Chocolat,2000-03-02,121.0,152500343.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,3,2000,Thursday
393.0,tt0378194,Kill Bill: Vol. 2,2004-04-16,136.0,152159461.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,16,4,2004,Friday
395.0,tt0370263,AVP: Alien vs. Predator,2004-08-12,101.0,177427090.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,12,8,2004,Thursday
396.0,tt0061184,Who's Afraid of Virginia Woolf?,1966-06-22,131.0,33736689.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,6,1966,Wednesday
397.0,tt0113117,French Kiss,1995-05-05,111.0,101982854.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,5,1995,Friday
398.0,tt0379725,Capote,2005-09-30,114.0,49327405.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,30,9,2005,Friday
400.0,tt0114660,Things to Do in Denver When You're Dead,1995-12-01,116.0,529766.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,1995,Friday
401.0,tt0333766,Garden State,2004-07-28,102.0,26781723.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,28,7,2004,Wednesday
402.0,tt0103772,Basic Instinct,1992-03-20,127.0,352927224.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,20,3,1992,Friday
403.0,tt0097239,Driving Miss Daisy,1989-12-13,99.0,145793296.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,1989,Wednesday
404.0,tt0166896,The Straight Story,1999-10-15,112.0,6203044.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,10,1999,Friday
405.0,tt0047528,La strada,1954-09-23,115.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,9,1954,Thursday
406.0,tt0113247,La Haine,1995-05-31,98.0,15300000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,5,1995,Wednesday
407.0,tt0162426,Kurz und schmerzlos,1998-10-15,93.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,15,10,1998,Thursday
408.0,tt0029583,Snow White and the Seven Dwarfs,1937-12-21,83.0,184925486.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,21,12,1937,Tuesday
409.0,tt0116209,The English Patient,1996-11-05,162.0,231976425.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,5,11,1996,Tuesday
410.0,tt0477877,Sommer vorm Balkon,2005-09-09,105.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,2005,Friday
411.0,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,143.0,745013115.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,7,12,2005,Wednesday
414.0,tt0112462,Batman Forever,1995-06-16,121.0,336529144.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,16,6,1995,Friday
415.0,tt0118688,Batman & Robin,1997-06-20,125.0,238207122.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,20,6,1997,Friday
419.0,tt0383041,Vom Suchen und Finden der Liebe,2005-01-27,105.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,27,1,2005,Thursday
421.0,tt0362270,The Life Aquatic with Steve Zissou,2004-12-10,119.0,34808403.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,2004,Friday
422.0,tt0056801,8½,1963-02-14,139.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,14,2,1963,Thursday
423.0,tt0253474,The Pianist,2002-09-17,150.0,120072577.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,17,9,2002,Tuesday
424.0,tt0108052,Schindler's List,1993-11-30,195.0,321365567.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,30,11,1993,Tuesday
425.0,tt0268380,Ice Age,2002-03-10,81.0,383257136.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,3,2002,Sunday
426.0,tt0052357,Vertigo,1958-05-28,128.0,7797728.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,28,5,1958,Wednesday
427.0,tt0050706,Mon oncle,1958-05-10,118.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,1958,Saturday
